6.6412,1509.4,294.7,-26.658
6.6912,1524.1,293.37,-26.458
6.7412,1538.7,292.05,-26.251
6.7912,1553.3,290.74,-26.051
6.8412,1567.8,289.45,-25.834
6.8912,1582.2,288.16,-25.635
6.9412,1596.6,286.88,-25.455
6.9912,1610.9,285.62,-25.285
7.0412,1625.2,284.35,-25.142
7.0912,1639.4,283.1,-25.001
7.1412,1653.5,281.86,-24.843
7.1912,1667.5,280.62,-24.678
7.2412,1681.5,279.39,-24.501
7.2912,1695.5,278.17,-24.311
7.3412,1709.4,276.96,-24.117
7.3912,1723.2,275.76,-23.934
7.4412,1736.9,274.56,-23.763
7.4912,1750.6,273.38,-23.61
7.5412,1764.3,272.2,-23.467
7.5912,1777.8,271.03,-23.316
7.6412,1791.4,269.87,-23.165
7.6912,1804.8,268.72,-23.037
7.7412,1818.2,267.57,-22.914
7.7912,1831.6,266.42,-22.803
7.8412,1844.9,265.29,-22.678
7.8912,1858.1,264.16,-22.534
7.9412,1871.3,263.03,-22.376
7.9912,1884.4,261.92,-22.222
8.0412,1897.5,260.81,-22.074
8.0912,1910.5,259.71,-21.902
8.1412,1923.5,258.62,-21.761
8.1912,1936.4,257.54,-21.618
8.2412,1949.2,256.46,-21.49
8.2912,1962,255.39,-21.383
8.3412,1974.8,254.32,-21.288
8.3912,1987.4,253.26,-21.197
8.4412,2000.1,252.2,-21.099
8.4912,2012.7,251.15,-20.989
8.5412,2025.2,250.1,-20.893
8.5912,2037.7,249.06,-20.774
8.6412,2050.1,248.02,-20.641
8.6912,2062.5,246.99,-20.501
8.7412,2074.8,245.97,-20.367
8.7912,2087.1,244.96,-20.244
8.8412,2099.3,243.95,-20.112
8.8912,2111.5,242.95,-19.998
8.9412,2123.6,241.95,-19.899
8.9912,2135.7,240.96,-19.814
9.0412,2147.7,239.97,-19.715
9.0912,2159.7,238.98,-19.623
9.1412,2171.6,238.01,-19.525
9.1912,2183.5,237.03,-19.43
9.2412,2195.3,236.06,-19.336
9.2912,2207.1,235.1,-19.252
9.3412,2218.8,234.14,-19.157
9.3912,2230.5,233.18,-19.073
9.4412,2242.1,232.23,-18.987
9.4913,2253.7,231.28,-18.876
9.5413,2265.2,230.34,-18.767
9.5913,2276.7,229.41,-18.672
9.6413,2288.2,228.48,-18.571
9.6913,2299.6,227.55,-18.471
9.7413,2310.9,226.63,-18.391
9.7913,2322.3,225.71,-18.306
9.8413,2333.5,224.8,-18.225
9.8913,2344.7,223.89,-18.152
9.9413,2355.9,222.98,-18.082
9.9913,2367,222.08,-17.996
10.041,2378.1,221.18,-17.919
10.091,2389.1,220.29,-17.826
10.141,2400.1,219.4,-17.749
10.191,2411.1,218.51,-17.673
10.241,2422,217.63,-17.598
10.291,2432.9,216.75,-17.527
10.341,2443.7,215.88,-17.449
10.391,2454.4,215.01,-17.369
10.441,2465.2,214.14,-17.305
10.491,2475.9,213.28,-17.237
10.541,2486.5,212.42,-17.167
10.591,2497.1,211.56,-17.074
10.641,2507.7,210.71,-17.004
10.691,2518.2,209.86,-16.922
10.741,2528.6,209.02,-16.845
10.791,2539.1,208.18,-16.774
10.841,2549.5,207.34,-16.708
10.891,2559.8,206.51,-16.632
10.941,2570.1,205.68,-16.575
10.991,2580.4,204.85,-16.507
11.041,2590.6,204.03,-16.439
11.091,2600.8,203.21,-16.378
11.141,2610.9,202.39,-16.322
11.191,2621,201.57,-16.27
11.241,2631.1,200.76,-16.216
11.291,2641.1,199.95,-16.17
11.341,2651.1,199.14,-16.137
11.391,2661,198.34,-16.077
11.441,2670.9,197.54,-16.006
11.491,2680.8,196.74,-15.931
11.541,2690.6,195.94,-15.855
11.591,2700.4,195.15,-15.786
11.641,2710.1,194.37,-15.709
11.691,2719.8,193.58,-15.644
11.741,2729.4,192.8,-15.572
11.791,2739.1,192.02,-15.503
11.841,2748.7,191.25,-15.441
11.891,2758.2,190.48,-15.396
11.941,2767.7,189.71,-15.351
11.991,2777.2,188.95,-15.307
12.041,2786.6,188.18,-15.268
12.091,2796,187.42,-15.237
12.141,2805.3,186.66,-15.196
12.191,2814.6,185.9,-15.149
12.241,2823.9,185.14,-15.103
12.291,2833.2,184.39,-15.058
12.341,2842.4,183.64,-15.02
12.391,2851.5,182.89,-14.981
12.441,2860.7,182.14,-14.929
12.491,2869.7,181.39,-14.878
12.541,2878.8,180.65,-14.818
12.591,2887.8,179.91,-14.751
12.641,2896.8,179.18,-14.687
12.691,2905.7,178.44,-14.641
