3.9412,644.35,302.54,50.842,0.045541,0.11987
3.9912,659.54,305.08,50.078,0.046251,0.1198
4.0412,674.86,307.58,49.356,0.047024,0.11973
4.0912,690.3,310.04,48.609,0.047833,0.11966
4.1412,705.86,312.47,47.859,0.048668,0.1196
4.1912,721.54,314.86,47.119,0.049522,0.11953
4.2412,737.34,317.21,46.375,0.050393,0.11947
4.2912,753.26,319.53,45.586,0.05127,0.1194
4.3412,769.3,321.81,44.789,0.052148,0.11934
4.3912,785.44,324.04,43.595,0.053021,0.11927
4.4412,801.7,326.22,41.687,0.053886,0.11921
4.4912,818.06,328.3,38.391,0.054735,0.11915
4.5412,834.53,330.22,32.436,0.055533,0.11909
4.5912,851.08,331.83,26.618,0.056227,0.11903
4.6412,867.7,333.16,21.33,0.056806,0.11898
4.6912,884.39,334.22,16.143,0.057296,0.11893
4.7412,901.12,335.03,11.468,0.057687,0.11889
4.7912,917.88,335.6,7.6998,0.057979,0.11885
4.8412,934.67,335.98,3.9759,0.058189,0.11882
4.8912,951.48,336.18,0.28217,0.058319,0.11879
4.9412,968.29,336.2,-3.3657,0.058374,0.11876
4.9912,985.09,336.03,-6.3649,0.058354,0.11873
5.0412,1001.9,335.72,-8.1835,0.058269,0.1187
5.0912,1018.7,335.31,-9.9405,0.058144,0.11868
5.1412,1035.4,334.82,-11.686,0.057978,0.11867
5.1912,1052.1,334.24,-13.429,0.057768,0.11865
5.2412,1068.8,333.57,-15.128,0.05753,0.11863
5.2912,1085.5,332.82,-16.835,0.057251,0.11862
5.3412,1102.1,331.98,-18.503,0.056946,0.1186
5.3912,1118.7,331.07,-26.408,0.056602,0.11858
5.4412,1135.2,329.75,-32.201,0.056119,0.11857
5.4912,1151.7,328.15,-31.902,0.055534,0.11857
5.5412,1168,326.56,-31.648,0.054937,0.11857
5.5912,1184.3,324.99,-31.372,0.054344,0.11857
5.6412,1200.5,323.42,-31.109,0.053755,0.11857
5.6912,1216.7,321.88,-30.846,0.053171,0.11857
5.7412,1232.7,320.34,-30.6,0.052592,0.11857
5.7912,1248.7,318.82,-30.348,0.052023,0.11857
5.8412,1264.6,317.3,-30.112,0.051459,0.11857
5.8912,1280.4,315.8,-29.855,0.050909,0.11857
5.9412,1296.2,314.32,-29.615,0.050368,0.11857
5.9912,1311.9,312.84,-29.378,0.049835,0.11857
6.0412,1327.5,311.38,-29.155,0.049309,0.11857
6.0912,1343,309.93,-28.924,0.048795,0.11857
6.1412,1358.5,308.49,-28.713,0.048286,0.11857
6.1912,1373.8,307.06,-28.481,0.047792,0.11857
6.2412,1389.2,305.64,-28.256,0.047308,0.11857
6.2912,1404.4,304.23,-28.017,0.046839,0.11857
6.3412,1419.6,302.84,-27.812,0.046375,0.11857
6.3912,1434.7,301.45,-27.625,0.045916,0.11857
6.4412,1449.7,300.07,-27.431,0.045469,0.11857
6.4912,1464.7,298.71,-27.248,0.045029,0.11857
6.5412,1479.6,297.35,-27.053,0.0446,0.11857
6.5912,1494.4,296,-26.862,0.04418,0.11857
6.6412,1509.2,294.66,-26.664,0.042277,0.11857
6.6912,1523.9,293.34,-26.454,0.042783,0.11857
6.7412,1538.5,292.02,-26.239,0.043226,0.11857
6.7912,1553.1,290.71,-26.004,0.043618,0.11857
